caseid,linksrechts_parteien_1,linksrechts_parteien_2,linksrechts_parteien_3,linksrechts_parteien_4,linksrechts_parteien_5,linksrechts_parteien_6,linksrechts_selbst,erststimme_BTW21,zweitstimme_BTW21,coalition_1,coalition_2,coalition_3,coalition_4,coalition_5,coalition_6,coalition_7,coalition_8,coalition_9,klimawandel_parteien_1,klimawandel_parteien_2,klimawandel_parteien_3,klimawandel_parteien_4,klimawandel_parteien_5,klimawandel_parteien_6,klimawandel_parteien_7,klimawandel_selbst,immigration_parteien_1,immigration_parteien_2,immigration_parteien_3,immigration_parteien_4,immigration_parteien_5,immigration_parteien_6,immigration_parteien_7,immigration_selbst,corona_parteien,kandidateneinstufungen_1,kandidateneinstufungen_2,kandidateneinstufungen_3,kandidateneinstufungen_4,kandidateneinstufungen_5,kandidateneinstufungen_6,education_paul_recode,age,WestOst,hinc,Pos. of LINKE in Ranking,Pos. of GRUENE in Ranking,Pos. of SPD in Ranking,Pos. of CDU/CSU in Ranking,Pos. of FDP in Ranking,Pos. of AFD in Ranking
456.0,8,8,4,6,6,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,3,3,3,1,1,5,3,5,7,7,4,6,1,1,977,1,7,7,4,977,1,1,7,1,-3,-2,5,3,-2,4,3,3,61.0,WEST,4,5,2,1,4,3,6
469.0,9,8,3,5,5,1,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,1,1,1,1,1,1,1,2,7,3,3,7,1,6,7,2,6,2,4,4,1,7,7,7,-3,0,5,-5,3,1,2,2,70.0,WEST,4,2,2,1,2,2,2
470.0,8,8,5,7,6,3,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,1,1,1,1,1,3,3,5,7,7,2,5,1,6,7,2,7,6,2,4,2,3,7,2,3,-4,4,2,-3,3,-3,3,61.0,WEST,2,3,2,1,3,3,3
472.0,6,6,6,6,5,3,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,2,2,2,1,1,4,3,4,4,5,5,6,2,4,7,4,4,4,4,5,2,2,6,5,0,-4,1,0,1,1,-1,3,57.0,WEST,2,3,2,1,3,3,3
491.0,6,7,5,7,5,3,6,ICH HABE UNGUELTIG GEWAEHLT,SPD,2,2,3,2,1,1,4,3,5,6,7,3,6,1,977,977,3,5,5,3,977,3,1,7,4,-1,-1,3,2,1,3,1,6,28.0,OST,11,3,1,1,2,2,3
493.0,5,5,5,6,6,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,5,4,2,2,2,2,2,2,2,3,3,5,5,1,4,5,4,2,2,4,3,3,5,7,7,2,-1,3,-3,-3,-3,4,3,55.0,WEST,6,2,2,1,2,1,2
498.0,6,9,5,8,5,3,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,3,3,2,1,1,2,3,5,6,6,4,7,2,5,7,4,4,4,2,4,3,6,7,2,-4,-4,4,3,-4,3,-3,2,78.0,WEST,3,3,2,1,3,3,3
501.0,977,977,5,977,977,11,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,3,2,1,2,1,1,3,1,3,977,977,4,977,1,977,977,4,977,977,5,977,977,7,7,7,0,-5,5,-5,1,-5,-4,2,79.0,WEST,977,2,2,1,2,2,2
506.0,6,6,4,6,6,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,3,2,2,2,1,1,3,4,4,6,4,4,4,1,4,7,4,4,4,4,4,4,4,7,4,1,-2,-3,0,0,0,0,3,57.0,OST,5,2,2,1,2,2,2
508.0,8,8,4,7,3,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,2,4,3,4,5,5,1,1,1,6,6,5,5,1,2,7,2,6,6,3,5,3,3,7,1,3,-5,5,5,2,5,2,6,48.0,WEST,977,3,1,2,5,4,6
