,data,tau_x_score,prediction_time,buckets_per_rank,algo,sigma-factor,Algorithm
115,PLR-BREAST,0.7575757575757575,2.511079096524037,6.0,Chain-RFR-PI,0,Chain-RFR-PI
116,PLR-BREAST,0.6066666666666667,2.5176787144113497,6.0,Chain-RFR-PI,0,Chain-RFR-PI
117,PLR-BREAST,0.7133333333333335,2.5427092085018295,5.7,Chain-RFR-PI,0,Chain-RFR-PI
118,PLR-BREAST,0.7200000000000001,2.5052377038915927,5.9,Chain-RFR-PI,0,Chain-RFR-PI
119,PLR-BREAST,0.7266666666666667,2.5109863731211006,5.8,Chain-RFR-PI,0,Chain-RFR-PI
120,PLR-BREAST,0.6606060606060606,2.511904544364695,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
121,PLR-BREAST,0.6727272727272727,2.549532383398956,6.0,Chain-RFR-PI,0,Chain-RFR-PI
122,PLR-BREAST,0.7151515151515152,2.513057341566257,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
123,PLR-BREAST,0.6969696969696971,2.5106825334956313,5.818181818181818,Chain-RFR-PI,0,Chain-RFR-PI
124,PLR-BREAST,0.7151515151515151,2.5416901516510446,6.0,Chain-RFR-PI,0,Chain-RFR-PI
125,PLR-BREAST,0.7515151515151515,2.515872308365409,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
126,PLR-BREAST,0.7066666666666667,2.5053860265435937,5.8,Chain-RFR-PI,0,Chain-RFR-PI
127,PLR-BREAST,0.7266666666666667,2.508730044863341,6.0,Chain-RFR-PI,0,Chain-RFR-PI
128,PLR-BREAST,0.6333333333333332,2.5402613887157033,6.0,Chain-RFR-PI,0,Chain-RFR-PI
129,PLR-BREAST,0.6466666666666666,2.5092142686506484,6.0,Chain-RFR-PI,0,Chain-RFR-PI
130,PLR-BREAST,0.7090909090909091,2.5097268853403425,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
131,PLR-BREAST,0.7212121212121212,2.510317559792002,5.818181818181818,Chain-RFR-PI,0,Chain-RFR-PI
132,PLR-BREAST,0.6727272727272727,2.542622127253667,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
133,PLR-BREAST,0.6363636363636364,2.508236823746895,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
134,PLR-BREAST,0.6848484848484848,2.50913301879352,6.0,Chain-RFR-PI,0,Chain-RFR-PI
135,PLR-BREAST,0.6848484848484848,2.506920365308815,6.0,Chain-RFR-PI,0,Chain-RFR-PI
136,PLR-BREAST,0.7066666666666667,2.535185458699218,5.8,Chain-RFR-PI,0,Chain-RFR-PI
137,PLR-BREAST,0.6666666666666667,2.499248564869009,5.9,Chain-RFR-PI,0,Chain-RFR-PI
138,PLR-BREAST,0.6133333333333334,2.512225140189465,6.0,Chain-RFR-PI,0,Chain-RFR-PI
139,PLR-BREAST,0.6799999999999999,2.511257314573724,5.9,Chain-RFR-PI,0,Chain-RFR-PI
140,PLR-BREAST,0.7454545454545456,2.5397389952512626,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
141,PLR-BREAST,0.6606060606060605,2.5155870531547713,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
142,PLR-BREAST,0.6666666666666665,2.509890726705044,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
143,PLR-BREAST,0.709090909090909,2.54352768807419,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
144,PLR-BREAST,0.6666666666666666,2.5005653858677426,5.818181818181818,Chain-RFR-PI,0,Chain-RFR-PI
145,PLR-BREAST,0.6484848484848484,2.5075775987993283,5.909090909090909,Chain-RFR-PI,0,Chain-RFR-PI
146,PLR-BREAST,0.6,2.504057885513008,5.9,Chain-RFR-PI,0,Chain-RFR-PI
147,PLR-BREAST,0.6666666666666666,2.5347456846792396,6.0,Chain-RFR-PI,0,Chain-RFR-PI
148,PLR-BREAST,0.7333333333333334,2.516258889104983,6.0,Chain-RFR-PI,0,Chain-RFR-PI
149,PLR-BREAST,0.6733333333333332,2.5074190634993467,6.0,Chain-RFR-PI,0,Chain-RFR-PI
150,PLR-ECOLI,0.5609243697478992,2.9425595762872563,7.411764705882353,Chain-RFR-PI,0,Chain-RFR-PI
151,PLR-ECOLI,0.6018907563025211,2.966363679490416,7.088235294117647,Chain-RFR-PI,0,Chain-RFR-PI
152,PLR-ECOLI,0.6502100840336134,2.9422466415989095,7.470588235294118,Chain-RFR-PI,0,Chain-RFR-PI
153,PLR-ECOLI,0.6323529411764706,2.9708859555694827,7.617647058823529,Chain-RFR-PI,0,Chain-RFR-PI
154,PLR-ECOLI,0.6113445378151261,2.9367921780405224,7.647058823529412,Chain-RFR-PI,0,Chain-RFR-PI
155,PLR-ECOLI,0.6165966386554622,2.9455923740395504,7.4411764705882355,Chain-RFR-PI,0,Chain-RFR-PI
156,PLR-ECOLI,0.6417748917748919,2.9634877716974097,7.454545454545454,Chain-RFR-PI,0,Chain-RFR-PI
157,PLR-ECOLI,0.5952380952380952,2.934914397729513,7.303030303030303,Chain-RFR-PI,0,Chain-RFR-PI
158,PLR-ECOLI,0.5595238095238094,2.941568477530332,7.272727272727272,Chain-RFR-PI,0,Chain-RFR-PI
159,PLR-ECOLI,0.619047619047619,2.9575050404014207,7.727272727272728,Chain-RFR-PI,0,Chain-RFR-PI
160,PLR-ECOLI,0.6039915966386554,2.933495783361567,7.352941176470588,Chain-RFR-PI,0,Chain-RFR-PI
161,PLR-ECOLI,0.5966386554621849,2.960942678438758,7.5588235294117645,Chain-RFR-PI,0,Chain-RFR-PI
162,PLR-ECOLI,0.6544117647058824,2.9469736425696063,7.4411764705882355,Chain-RFR-PI,0,Chain-RFR-PI
163,PLR-ECOLI,0.6334033613445379,2.937968785913181,7.176470588235294,Chain-RFR-PI,0,Chain-RFR-PI
164,PLR-ECOLI,0.6029411764705882,2.97148248337425,7.235294117647059,Chain-RFR-PI,0,Chain-RFR-PI
165,PLR-ECOLI,0.6144957983193278,2.935180650488159,7.735294117647059,Chain-RFR-PI,0,Chain-RFR-PI
166,PLR-ECOLI,0.5995670995670995,2.9423476975028096,7.666666666666667,Chain-RFR-PI,0,Chain-RFR-PI
167,PLR-ECOLI,0.5952380952380952,2.9583371969739765,7.03030303030303,Chain-RFR-PI,0,Chain-RFR-PI
168,PLR-ECOLI,0.6093073593073594,2.9385502182198504,7.303030303030303,Chain-RFR-PI,0,Chain-RFR-PI
169,PLR-ECOLI,0.5638528138528138,2.9710451699696363,7.454545454545454,Chain-RFR-PI,0,Chain-RFR-PI
170,PLR-ECOLI,0.630252100840336,2.9384940491686997,7.352941176470588,Chain-RFR-PI,0,Chain-RFR-PI
171,PLR-ECOLI,0.569327731092437,2.940867397554674,7.294117647058823,Chain-RFR-PI,0,Chain-RFR-PI
